Slice_Index	Normalization_Factor
1	8906978.000000
2	9518715.000000
3	8748822.000000
4	8909641.000000
5	9019728.000000
6	8308554.000000
7	8386217.000000
8	8565564.000000
9	8410541.000000
10	8082234.000000
11	8704778.000000
12	8894124.000000
13	8879483.000000
14	8222455.500000
15	9227302.000000
16	8839130.000000
17	8839286.000000
18	9745119.000000
19	9703817.000000
20	10482666.000000
21	10210927.000000
22	10174725.000000
23	9344009.000000
24	9467761.000000
25	8998086.000000
26	9328079.000000
27	9582532.000000
28	9255866.000000
29	8885616.000000
30	9092249.000000
31	9246708.000000
32	9251696.000000
33	10112484.000000
34	10240483.000000
35	11422717.000000
36	10944903.000000
37	10468880.000000
38	11050207.000000
39	10463172.000000
40	10276655.000000
41	10071926.000000
42	10042729.000000
43	10788888.000000
44	10455256.000000
45	10788187.000000
46	11180082.000000
47	11031938.000000
48	11529533.000000
49	11651569.000000
50	10323577.000000
51	10867043.000000
52	10503857.000000
53	10662344.000000
54	10181670.000000
55	10547883.000000
56	10320097.000000
57	11038974.000000
58	12945207.000000
59	13330727.000000
60	12997500.000000
61	11756097.000000
62	10671954.000000
63	12109553.000000
64	12453017.000000
65	12955299.000000
66	12348024.000000
67	12692569.000000
68	13815844.000000
69	14324567.000000
70	12610055.000000
71	11325054.000000
72	11972391.000000
73	12411018.000000
74	11903700.000000
75	11926426.000000
76	11673915.000000
77	11596379.000000
78	13055118.000000
79	13636873.000000
80	13830616.000000
81	13885381.000000
82	12631041.000000
83	12134362.000000
84	11889735.000000
85	11741522.000000
86	12147466.000000
87	12025257.000000
88	12688946.000000
89	12835539.000000
90	13205688.000000
91	13555212.000000
92	13666843.000000
93	15246720.000000
94	14151054.000000
95	15528945.000000
96	13822632.000000
97	15577266.000000
98	15986414.000000
99	15245266.000000
100	15761353.000000
101	14931611.000000
102	13535400.000000
103	15790746.000000
104	15079252.000000
105	13377552.000000
106	15546307.000000
107	16721522.000000
108	16669490.000000
109	16336903.000000
110	15601085.000000
111	16634040.000000
112	13411852.000000
113	16713570.000000
114	14828501.000000
115	15723481.000000
116	18903744.000000
117	15967217.000000
118	23533774.000000
119	43200316.000000
120	66120376.000000
121	78176904.000000
122	103497256.000000
123	104822464.000000
124	83926432.000000
125	69714664.000000
126	61093780.000000
127	42628440.000000
128	47390416.000000
129	50256172.000000
130	45998424.000000
131	51043488.000000
132	45020976.000000
133	46962016.000000
134	44694304.000000
135	38193388.000000
136	39966596.000000
137	36937424.000000
138	34084388.000000
139	41493984.000000
140	48934012.000000
141	42281552.000000
142	52444820.000000
143	63895736.000000
144	64295844.000000
145	57700024.000000
146	46045844.000000
147	34680844.000000
148	33669684.000000
149	36627264.000000
150	31974194.000000
151	25488930.000000
152	21609610.000000
153	26086144.000000
154	29602646.000000
155	35375644.000000
156	36053932.000000
157	31799724.000000
158	24400980.000000
159	16407757.000000
160	14609189.000000
161	14155150.000000
162	13280409.000000
163	14030431.000000
164	13126304.000000
165	12946605.000000
166	13649534.000000
167	13741047.000000
168	13367531.000000
169	14730230.000000
170	14350495.000000
171	16005090.000000
172	15334693.000000
173	12628687.000000
174	14391638.000000
175	15359376.000000
176	15773496.000000
177	14270098.000000
178	13714859.000000
179	13700483.000000
180	13486819.000000
181	12847263.000000
182	13758647.000000
183	13456875.000000
184	11865789.000000
185	12222063.000000
186	12714750.000000
187	12815754.000000
188	12299747.000000
189	11359405.000000
190	10215337.000000
191	10567638.000000
192	10651561.000000
193	10665131.000000
194	11263913.000000
195	11465989.000000
196	11597619.000000
197	11065336.000000
198	11120180.000000
199	10782979.000000
200	10795228.000000
201	10434255.000000
202	9284340.000000
203	9900797.000000
204	9899138.000000
205	10934790.000000
206	10757215.000000
207	11325776.000000
208	11094012.000000
209	11211879.000000
210	10925848.000000
211	10715153.000000
212	11533708.000000
213	11524580.000000
214	12087498.000000
215	11886731.000000
216	10813719.000000
217	9629554.000000
218	9038394.000000
219	8978925.000000
220	9251121.000000
221	9185991.000000
222	8844100.000000
223	8631036.000000
224	9274845.000000
225	9746751.000000
226	9747291.000000
227	9120186.000000
228	8907324.000000
229	9090891.000000
230	8931712.000000
231	8709972.000000
232	9272396.000000
233	10276396.000000
234	11323552.000000
235	10605951.000000
236	9475558.000000
237	8263912.000000
238	8142271.500000
239	7953846.500000
240	7989231.000000
241	8746755.000000
242	8541478.000000
243	8639471.000000
244	8765386.000000
245	9186104.000000
246	8977457.000000
247	9001804.000000
248	9943344.000000
249	9997710.000000
250	9558423.000000
251	9357709.000000
252	8884536.000000
253	8550312.000000
254	8109519.000000
255	7953372.000000
256	7562595.000000
