Slice_Index	Normalization_Factor
1	9826599.000000
2	9837456.000000
3	10121729.000000
4	9951094.000000
5	9761546.000000
6	10088664.000000
7	10632013.000000
8	10723672.000000
9	10692142.000000
10	10142055.000000
11	9998434.000000
12	10082903.000000
13	9929040.000000
14	9852481.000000
15	9641040.000000
16	9189117.000000
17	9655000.000000
18	9712008.000000
19	10230911.000000
20	10558696.000000
21	10091165.000000
22	10220751.000000
23	10002822.000000
24	10438775.000000
25	10143174.000000
26	10016963.000000
27	9957356.000000
28	10195224.000000
29	9958492.000000
30	10472754.000000
31	11039114.000000
32	10836291.000000
33	11094800.000000
34	10352820.000000
35	11526871.000000
36	11182512.000000
37	10795864.000000
38	11369761.000000
39	10864702.000000
40	11089665.000000
41	11209204.000000
42	10846398.000000
43	10922590.000000
44	11120493.000000
45	11108978.000000
46	12495161.000000
47	12417682.000000
48	12513450.000000
49	12595652.000000
50	11592936.000000
51	12850221.000000
52	13391613.000000
53	13093047.000000
54	12865825.000000
55	12337695.000000
56	10919672.000000
57	10665196.000000
58	11737066.000000
59	11585641.000000
60	11335578.000000
61	11400022.000000
62	12803063.000000
63	13024445.000000
64	12276943.000000
65	11659653.000000
66	12725786.000000
67	13112653.000000
68	13350624.000000
69	13690418.000000
70	12492725.000000
71	11629447.000000
72	12134756.000000
73	12958392.000000
74	13603749.000000
75	13931744.000000
76	13528499.000000
77	13636322.000000
78	12865308.000000
79	14403672.000000
80	14849218.000000
81	15280085.000000
82	14677879.000000
83	13916412.000000
84	13919273.000000
85	14567514.000000
86	13493708.000000
87	12834029.000000
88	13863048.000000
89	13601612.000000
90	17752058.000000
91	18355142.000000
92	15700302.000000
93	16909750.000000
94	17138114.000000
95	19234546.000000
96	16783058.000000
97	16371220.000000
98	16235629.000000
99	15912827.000000
100	15860722.000000
101	17059280.000000
102	15784709.000000
103	18090482.000000
104	17043930.000000
105	16444651.000000
106	16402150.000000
107	17378076.000000
108	20670752.000000
109	16801258.000000
110	17973836.000000
111	19164566.000000
112	18663870.000000
113	17916692.000000
114	18961296.000000
115	18326660.000000
116	18164956.000000
117	18394820.000000
118	26781098.000000
119	48754652.000000
120	84323304.000000
121	102725704.000000
122	126952264.000000
123	128546752.000000
124	100389168.000000
125	87174064.000000
126	78049336.000000
127	55298120.000000
128	64088156.000000
129	66933204.000000
130	56408400.000000
131	60890324.000000
132	52655548.000000
133	54852072.000000
134	55257112.000000
135	48347936.000000
136	49101604.000000
137	47724196.000000
138	43836148.000000
139	54186056.000000
140	62422360.000000
141	51990376.000000
142	62882292.000000
143	77479936.000000
144	79196456.000000
145	74820416.000000
146	62627668.000000
147	49344488.000000
148	45616080.000000
149	47396752.000000
150	41651028.000000
151	34260312.000000
152	29150468.000000
153	36285564.000000
154	39608844.000000
155	44615964.000000
156	41706728.000000
157	37562148.000000
158	35467112.000000
159	25329398.000000
160	16038073.000000
161	17416474.000000
162	15859511.000000
163	16253266.000000
164	14757154.000000
165	12911095.000000
166	13507328.000000
167	13642457.000000
168	13639191.000000
169	15702705.000000
170	17152350.000000
171	17351040.000000
172	16546916.000000
173	14181895.000000
174	15998653.000000
175	16197449.000000
176	16503257.000000
177	17704838.000000
178	19376358.000000
179	18993882.000000
180	18759510.000000
181	16880030.000000
182	16270184.000000
183	15050078.000000
184	14154789.000000
185	13455199.000000
186	13579849.000000
187	13273753.000000
188	13419722.000000
189	12644985.000000
190	12138517.000000
191	12935428.000000
192	12333443.000000
193	13749684.000000
194	14891861.000000
195	14604751.000000
196	13852463.000000
197	12905911.000000
198	12228197.000000
199	11707895.000000
200	11997172.000000
201	12095520.000000
202	12012888.000000
203	13126800.000000
204	13173483.000000
205	12335741.000000
206	12851967.000000
207	11836263.000000
208	12447795.000000
209	11679400.000000
210	12420071.000000
211	12962346.000000
212	13512468.000000
213	13759375.000000
214	14322810.000000
215	13415668.000000
216	12079822.000000
217	10940837.000000
218	11130534.000000
219	11602850.000000
220	11059734.000000
221	10981464.000000
222	10921595.000000
223	11187129.000000
224	11670416.000000
225	12257684.000000
226	11902117.000000
227	11598443.000000
228	10098136.000000
229	9903089.000000
230	11128070.000000
231	11919578.000000
232	13874895.000000
233	15469300.000000
234	16634097.000000
235	16075639.000000
236	14970756.000000
237	13132151.000000
238	11960692.000000
239	10703343.000000
240	9666203.000000
241	10501580.000000
242	10073604.000000
243	10049765.000000
244	10621048.000000
245	10286016.000000
246	10436859.000000
247	9559796.000000
248	9424928.000000
249	10053709.000000
250	9803690.000000
251	9850328.000000
252	10186953.000000
253	10166363.000000
254	9934324.000000
255	8458044.000000
256	8526737.000000
